"Transaction Hash","Blockno","UnixTimestamp","DateTime (UTC)","From","To","TokenValue","USDValueDayOfTx","ContractAddress","TokenName","TokenSymbol"
"0x871e73d25f5aa83e77d1f1c11fa257ffe2a591025f2cff2ed8577f52ff717c52","43397937","1729773768","2024-10-24 12:42:48","0x56fcbc19e55bc9f91c8d759f0f225c939468fb82","0x7524140c3d7cc27300fdedeb19e70796db1ffa3a","0","$0.00","0x55d398326f99059ff775485246999027b3197955","Binance-Peg BSC-USD","BSC-USD"
"0x871e73d25f5aa83e77d1f1c11fa257ffe2a591025f2cff2ed8577f52ff717c52","43397937","1729773768","2024-10-24 12:42:48","0x56fcbc19e55bc9f91c8d759f0f225c939468fb82","0x7524140c3d7cc27300fdedeb19e70796db1ffa3a","200","N/A","0xea6102f639c72306016f64c6b001f97a63d71ae4","UЅDТ","UЅDТ"
"0xe398f6b3ac015bec4ac1c49d974bf86671ee13e4907056d0106f1485775ec0f6","43397964","1729773849","2024-10-24 12:44:09","0x7b5bd525d4ce5a9c9520024807833d957d9ffa3a","0x56fcbc19e55bc9f91c8d759f0f225c939468fb82","0.00201","$0.00","0x55d398326f99059ff775485246999027b3197955","Binance-Peg BSC-USD","BSC-USD"
"0x2feae6b710a5179bb93fb48ee53785f668db1622290cdcfdb5b0bad787174436","43398003","1729773966","2024-10-24 12:46:06","0x7b5bd19dc9950d856b3a4fae1d93f3fc3a9ffa3a","0x56fcbc19e55bc9f91c8d759f0f225c939468fb82","0.00201","$0.00","0x55d398326f99059ff775485246999027b3197955","Binance-Peg BSC-USD","BSC-USD"
"0x99bc0e2fa7fafdd7684379a9bf66bafd71cac6d159a6ea8f85fd901e426bdac6","43398126","1729774335","2024-10-24 12:52:15","0x56fcbc19e55bc9f91c8d759f0f225c939468fb82","0x7bc28cc1d2913f38cb0a53cc3fc2e08e5a1ffa3a","0","$0.00","0x55d398326f99059ff775485246999027b3197955","Binance-Peg BSC-USD","BSC-USD"
"0x99bc0e2fa7fafdd7684379a9bf66bafd71cac6d159a6ea8f85fd901e426bdac6","43398126","1729774335","2024-10-24 12:52:15","0x56fcbc19e55bc9f91c8d759f0f225c939468fb82","0x7bc28cc1d2913f38cb0a53cc3fc2e08e5a1ffa3a","200","N/A","0x627d0ccffb078796aa4aff50fd72a8143b4910d6","UЅDТ","UЅDТ"
"0xd6f10bf2029ac36af4bc14a2e9ec90afe3745dae6986f449b838c75449c286d1","43429456","1729868328","2024-10-25 14:58:48","0x56fcbc19e55bc9f91c8d759f0f225c939468fb82","0xf71de4baf26b88fcad4976d7ecdf1fbf73ef9ad7","100","N/A","0x55d398326f99059ff775485246999027b3197955","Binance-Peg BSC-USD","BSC-USD"
"0xebd6ffa7abb4e13ad52f62e0b4b68112926dca611b089370a3bef163a6df69c8","43429467","1729868361","2024-10-25 14:59:21","0x56fcbc19e55bc9f91c8d759f0f225c939468fb82","0xf7403f9e15c1f45921df0676d63f1a17daef9ad7","0","N/A","0x55d398326f99059ff775485246999027b3197955","Binance-Peg BSC-USD","BSC-USD"
"0xebd6ffa7abb4e13ad52f62e0b4b68112926dca611b089370a3bef163a6df69c8","43429467","1729868361","2024-10-25 14:59:21","0x56fcbc19e55bc9f91c8d759f0f225c939468fb82","0xf7403f9e15c1f45921df0676d63f1a17daef9ad7","100","N/A","0xea6102f639c72306016f64c6b001f97a63d71ae4","UЅDТ","UЅDТ"
"0x7407ba5ebd188e97c2e7d9b2817051f3d74c5b042365a9da509aa3b8cc6080e5","43429690","1729869030","2024-10-25 15:10:30","0x56fcbc19e55bc9f91c8d759f0f225c939468fb82","0xf73062ffb427bb0cd51b35632e304693c5ef9ad7","0","N/A","0x55d398326f99059ff775485246999027b3197955","Binance-Peg BSC-USD","BSC-USD"
"0x7407ba5ebd188e97c2e7d9b2817051f3d74c5b042365a9da509aa3b8cc6080e5","43429690","1729869030","2024-10-25 15:10:30","0x56fcbc19e55bc9f91c8d759f0f225c939468fb82","0xf73062ffb427bb0cd51b35632e304693c5ef9ad7","100","N/A","0x81e914eb168fd86f50d5b1de23a3301ea42fa08b","UЅDТ","UЅDТ"
